product_id,post_name,product_type,priorite_decisionnelle,decision_score,bc05_iforest_flag,bc05_iforest_score,if_component,knn_component,kmeans_component,shap_component,impact_component,shap_top_driver,lecture_strategique,price,purchase_price,taux_marge,stock_quantity,total_sales_clean,ca_par_article
4046,pierre-gaillard-cote-rotie-rose-pourpre-2017,Vin,Critique,0.6612546974377942,True,-0.021656491195441552,0.9321212121212121,0.9903030303030304,0.9426320346320345,0.42162922546019294,0.0,bc05_std_purchase_price,Atypie forte et impact business eleve,80.0,40.92,,2,2.0,
5026,champagne-agrapart-fils-mineral-extra-brut-blanc-de-blancs-grand-cru-2012,Champagne,Critique,0.6595233002578158,True,-0.07607428028433494,0.9575757575757575,0.9769696969696969,0.8286060606060606,0.5256572450024013,0.0,bc05_std_purchase_price,Atypie forte et impact business eleve,86.8,50.13,,101,9.0,
4353,champagne-egly-ouriet-grand-cru-brut-rose,Champagne,Critique,0.6584215653335165,True,-0.06004163796857653,0.9490909090909091,0.9660606060606061,0.8812121212121211,0.48300353212304425,0.0,bc05_std_purchase_price,Atypie forte et impact business eleve,79.5,45.91,,127,14.0,
4359,champagne-larmandier-bernier-grand-cru-vieilles-chemins-avize-2011,Champagne,Critique,0.6580045706248726,True,-0.09857983573275642,0.9672727272727273,0.9684848484848485,0.7717575757575756,0.5836214638244839,0.0,bc05_std_purchase_price,Atypie forte et impact business eleve,85.6,51.93,,112,7.0,
5027,champagne-agrapart-fils-terroirs-brut-blanc-de-blancs-grand-cru,Champagne,Critique,0.6562068726319458,True,-0.038471755293065124,0.9406060606060606,0.9636363636363636,0.9261818181818182,0.42370508995582146,0.0,bc05_std_taux_marge,Atypie forte et impact business eleve,62.1,38.04,,79,6.0,
6216,domaine-des-comtes-lafon-volnay-1er-cru-champans-2016,Vin,Critique,0.6527468270556036,True,-0.122170006082434,0.9769696969696969,0.8933333333333333,0.7785,0.6421425129802799,0.0,bc05_std_price,Atypie forte et impact business eleve,121.0,60.02,,14,2.0,
4334,champagne-gosset-grand-blanc-de-blanc,Champagne,Critique,0.6521604087775446,True,-0.016415890172234326,0.926060606060606,0.9757575757575757,0.9541818181818182,0.3606343908057485,0.0,bc05_std_taux_marge,Atypie forte et impact business eleve,49.0,30.01,,142,7.0,
5761,huile-dolive-extra-vierge-planeta-3x-10cl,Huile d'olive,Critique,0.6520295556893114,True,-0.007743887190174159,0.9115151515151515,0.9709090909090909,0.9609696969696968,0.402477375074932,0.0,bc05_std_taux_marge,Atypie forte et impact business eleve,19.5,12.07,,125,10.0,
6212,domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2015,Vin,A surveiller,0.6492795893932607,True,-0.09499044281584113,0.9660606060606061,0.8993939393939394,0.7717121212121212,0.638258015144728,0.0,bc05_std_price,Signal a confirmer (driver principal: bc05_std_price),115.0,59.42,,16,7.0,
5918,wemyss-malts-single-cask-scotch-whisky-chai-caramel-latte-2002,Whisky,A surveiller,0.649160406382302,True,-0.1256456802959539,0.9781818181818182,0.8763636363636363,0.7691666666666666,0.6505813365502928,0.0,bc05_std_price,Signal a confirmer (driver principal: bc05_std_price),114.0,52.25,,12,3.0,
