product_id,post_name,product_type,priorite_decisionnelle,decision_score,bc05_iforest_flag,bc05_iforest_score,if_component,knn_component,kmeans_component,shap_component,impact_component,shap_top_driver,lecture_strategique,price,purchase_price,taux_marge,stock_quantity,total_sales_clean,ca_par_article
4108,zind-humbrecht-riesling-herrenweg-turckheim-2017,Vin,Normal,0.25232915810962725,False,0.12478894718291184,0.26606060606060605,0.5442424242424242,0.3455685279187817,0.11827212255143331,0.0,bc05_std_taux_marge,Conforme au profil courant,31.7,16.54,,13,7.0,
5564,tempier-bandol-2017,Vin,Normal,0.25200437026700695,False,0.12687959822470768,0.20242424242424242,0.5963636363636363,0.39562913397938776,0.12660000170098798,0.0,bc05_std_taux_marge,Conforme au profil courant,30.8,16.07,,10,9.0,
4733,camin-larredya-jurancon-sec-la-part-davant-2018,Vin,Normal,0.2516389616473614,False,0.12769369984865137,0.1890909090909091,0.6218181818181818,0.3837503461005999,0.1298550064136235,0.0,bc05_std_price,Conforme au profil courant,16.8,8.42,,38,11.0,
5505,,,Normal,0.2511803247009667,False,0.11327939170132295,0.49696969696969695,0.03393939393939394,0.5865382248884786,0.07320803088907013,0.0,bc05_std_taux_marge,Conforme au profil courant,10.1,5.22,,0,,
5764,parce-freres-collioure-rouge-petit-gus-2018,Vin,Normal,0.24949705110978762,False,0.111130676538575,0.5363636363636364,0.28606060606060607,0.11732610367635747,0.13776923437121857,0.0,bc05_std_price,Conforme au profil courant,12.9,6.33,,20,8.0,
5443,la-rectorie-banyuls-leon-parce-2016,Vin,Normal,0.24937112637016481,False,0.12053908150555198,0.3496969696969697,0.49575757575757573,0.2344170127672666,0.10147968394468773,0.0,bc05_std_price,Conforme au profil courant,23.6,12.56,,32,10.0,
4191,chateau-de-la-liquiere-faugeres-les-amandiers-rouge-2019,Vin,Normal,0.2481045547732234,False,0.10963516585989902,0.5587878787878788,0.15333333333333332,0.29253822488847864,0.05920790736921325,0.0,bc05_std_taux_marge,Conforme au profil courant,9.3,4.76,,30,12.0,
4909,antoine-marie-arena-vin-de-france-bianco-gentile-2018,Vin,Normal,0.24774256519675808,False,0.1144337362166557,0.4703030303030303,0.3006060606060606,0.24120489155514538,0.10349710251365091,0.0,bc05_std_price,Conforme au profil courant,25.9,12.85,,14,6.0,
5396,chili-de-martino-gallardia-cinsault-2017,Vin,Normal,0.24729402534739658,False,0.12092762173389326,0.336969696969697,0.5187878787878788,0.2047200430702969,0.1173753403836719,0.0,bc05_std_price,Conforme au profil courant,17.1,8.48,,14,7.0,
4157,planeta-sicilia-alastro-2017,Vin,Normal,0.24713218749993363,False,0.11935874359625614,0.3781818181818182,0.34424242424242424,0.36762913397938773,0.09684787099995175,0.0,bc05_std_purchase_price,Conforme au profil courant,12.0,6.45,,36,12.0,
5000,duband-cotes-de-nuits-villages-2017,Vin,Normal,0.2461737307661107,False,0.12157757458448332,0.32606060606060605,0.5927272727272728,0.12835640670666051,0.10556633396475266,0.0,bc05_std_purchase_price,Conforme au profil courant,27.3,14.53,,26,8.0,
6325,tempier-bandol-blanc-2018,Vin,Normal,0.24603506330253375,False,0.1107786979421223,0.5454545454545454,0.2921212121212121,0.1105382248884787,0.0739372350865589,0.0,bc05_std_price,Conforme au profil courant,27.9,15.14,,22,10.0,
6049,christophe-pichon-saint-joseph-blanc-2017,Vin,Normal,0.24502229132350214,False,0.1206341847896264,0.3478787878787879,0.5345454545454545,0.15465943700969081,0.10550648499321247,0.0,bc05_std_purchase_price,Conforme au profil courant,21.8,10.81,,30,9.0,
4723,francois-baur-pinot-noir-sang-du-dragon-2017,Vin,Normal,0.24499380403994322,False,0.1165362419587544,0.4206060606060606,0.40969696969696967,0.18859883094908475,0.08582767276368411,0.0,bc05_std_price,Conforme au profil courant,29.0,15.43,,19,6.0,
5379,argentine-mendoza-alamos-torrontes-2017,Vin,Normal,0.244639508157061,False,0.12077469626904641,0.34363636363636363,0.41454545454545455,0.3226594370096908,0.10240592605607392,0.0,bc05_std_taux_marge,Conforme au profil courant,11.1,5.68,,33,11.0,
5707,domaine-des-terres-docre-saint-pourcain-rouge-instant-t-2015,Vin,Normal,0.2445803439614263,False,0.11587019694612694,0.43757575757575756,0.08787878787878788,0.5827200430702969,0.08323852652396947,0.0,bc05_std_taux_marge,Conforme au profil courant,10.8,5.69,,0,0.0,
