controle,nb_lignes
erp_price_negatifs,3
erp_purchase_price_negatifs,0
erp_stock_negatifs,2
web_sku_manquants,85
web_sku_doublons,1428
web_price_negatifs,0
liaison_id_web_manquants,91
final_id_web_manquants_web1,0
